,id,title,release_date,popularity,vote_average,vote_count
0,1304313,Lee Cronin's The Mummy,2026-04-15,157.9774,7.1,288
1,931285,Mortal Kombat II,2026-05-06,146.0172,6.976,208
2,687163,Project Hail Mary,2026-03-15,447.7858,8.595,3604
3,1439930,The Punisher: One Last Kill,2026-05-12,671.0993,8.55,906
4,1242332,Normal,2026-04-16,12.3489,7.0,31
5,1339713,Obsession,2026-04-16,152.8951,8.106,108
6,1228710,Star Wars: The Mandalorian and Grogu,2026-05-20,45.4551,8.0,5
7,1226863,The Super Mario Galaxy Movie,2026-04-01,309.4795,6.712,879
8,1314481,The Devil Wears Prada 2,2026-04-29,76.2403,6.669,587
9,1102883,Mother Mary,2026-04-16,7.7804,5.232,28
10,936075,Michael,2026-04-22,116.9987,7.584,770
11,1083381,Backrooms,2026-05-27,21.4532,0.0,0
12,83533,Avatar: Fire and Ash,2025-12-17,154.9556,7.484,3086
13,1273221,Scary Movie,2026-06-03,17.2285,0.0,0
14,1122573,In the Grey,2026-05-13,48.5359,6.432,37
15,1368314,Passenger,2026-05-20,17.7669,10.0,1
16,1628367,Kartavya,2026-05-15,42.7705,5.3,3
17,1140521,The Magic Faraway Tree,2026-03-26,29.9019,6.3,26
18,1007757,Swapped,2026-05-01,354.9764,8.989,1175
19,1318447,Apex,2026-04-24,227.5895,6.647,1086
20,1084244,Toy Story 5,2026-06-17,17.555,0.0,0
21,1325734,The Drama,2026-03-26,38.3143,6.9,778
22,1301421,The Sheep Detectives,2026-04-30,107.6283,7.653,75
23,1662317,The Crash,2026-05-15,17.471,6.3,15
24,1327819,Hoppers,2026-03-04,136.9073,8.082,1120
25,454639,Masters of the Universe,2026-06-03,24.1689,0.0,0
26,855435,Faces of Death,2026-04-10,97.1636,5.3,54
27,1198994,Send Help,2026-01-22,74.4888,7.037,1487
28,1684226,Bride of the Year,2026-05-15,47.9999,6.25,2
29,1368166,The Housemaid,2025-12-18,64.7895,7.246,2122
30,1330021,Remarkably Bright Creatures,2026-05-07,118.3567,8.56,310
31,1368337,The Odyssey,2026-07-15,37.6332,0.0,0
32,1430077,Hokum,2026-04-29,16.3147,7.0,43
33,1297842,GOAT,2026-02-11,115.5354,8.1,624
34,1582770,Dhurandhar: The Revenge,2026-03-18,43.5178,7.3,74
35,1159559,Scream 7,2026-02-25,51.7854,6.123,905
36,1656061,Immortal Combat,2026-04-24,9.7146,6.1,7
37,1427838,The Holy Grail,2026-01-15,2.1682,6.8,24
38,680493,Return to Silent Hill,2026-01-21,34.3634,5.4,525
39,969681,Spider-Man: Brand New Day,2026-07-29,25.8737,0.0,0
40,1266127,Ready or Not: Here I Come,2026-03-19,145.7719,7.633,760
41,1275779,Disclosure Day,2026-06-10,16.0666,0.0,0
42,1088548,Bitter Christmas,2026-03-20,4.9433,7.2,16
43,1671548,Dear You,2026-04-30,43.4451,9.1,15
44,1292695,They Will Kill You,2026-03-25,76.7079,6.914,524
45,1684244,Untold UK: Liverpool's​ Miracle​ of​ lstanbul,2026-05-19,0.5124,0.0,0
46,1159831,The Bride!,2026-03-04,24.7725,6.2,426
47,1455079,"You, Me & Tuscany",2026-04-09,19.6421,6.795,39
48,1630423,My Dearest Assassin,2026-05-06,166.1321,8.606,179
49,1469342,Her Private Hell,2026-07-24,5.4015,0.0,0
50,1317288,Marty Supreme,2025-12-19,23.6613,7.388,1726
51,1688177,An Enemy Within,2025-10-10,8.4657,6.0,6
52,1058424,Hope,2026-05-17,22.4977,0.0,0
53,1316092,"""Wuthering Heights""",2026-02-11,39.4032,6.621,973
54,1280738,The Furious,2026-06-05,27.7281,0.0,0
55,696393,Cold Storage,2026-01-22,18.1798,6.805,441
56,1315772,Minions & Monsters,2026-06-24,8.3915,0.0,0
57,1375646,Colony,2026-05-21,13.3695,0.0,0
58,1292415,Beast,2026-04-10,143.7614,6.5,31
59,1084242,Zootopia 2,2025-11-26,89.6629,7.639,2772
60,1367220,Karuppu,2026-05-15,24.3161,7.2,6
61,1290821,Shelter,2026-01-28,86.772,7.5,945
62,1367642,Reminders of Him,2026-03-11,24.9641,7.4,213
63,1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,93.706,7.712,831
